Object identifier, Divisions                   , Accession Number         , Accession Description                           , Quantity    , Type        , Other Numbers                                    , Object Type           , Materials                    , Verbatim Geography                                 , Geographic Location  , Political Location          , Culture , Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , Curatorial Notes
37327            , Ethnology & Material Culture, Accession Number: 2175   , Accession #2175 Donation 1955 (2175)            , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Grass                        , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , One grass basket from the Philippines. The bas of the basket is flat and the sides angle out to form a truncated cone shape. Made of coils of grass sewn together with two-ply thread the majority of the basket is natural interspersed with horizontal rings of green and red from the center of the base to the top. At the very center of the base is a hole approximately 1.5cm in diameter.                                                                                                                                                                                                                                 , 
47287            , Ethnology & Material Culture, Accession Number: 2558   , Accession #2558 Donation 09/21/1959 (2558)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket making material, Bamboo                       , Asia-Southeast Asia-Philippines-Bulacan-           , Central Luzon        , Pulilan                     ,         , 1 bamboo ring. One tan strip of bamboo bent into a circle and with the edges knotted together.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , 
92138            , Ethnology & Material Culture, Accession Number: 3461   , Accession #3461 UMMAA Expedition 10/1979 (3461) , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Balsa                        , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , "1 man's travel basket. Called ""nead basket"" made with water proof lejuco covering. Basket has a rectangular base made of a wide rigid strip of organic material. Body of the basket is made of basketry in a tightly woven zigzag pattern. A flap comes over the top of the basket opening to cover it and is attached to two straps of similar woven basketry. Another flap is attached to the cover flap and this outer flap is made of woven basketry covered with a shaggy plant material reminiscent of porcupine quills or grass. This shaggy material covers one entire side of the basket as well as the closure flap.", 
92297            , Ethnology & Material Culture, Accession Number: 3581   , Accession #3581 Donation 07/10/1984 (3581)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Rattan                       , Asia-Southeast Asia-Philippines-Mindoro Oriental-  , Mt. Halcon           , Santa Rosa or Dulangan      , Mangyan , Fine-weave rattan basket barrel-shaped. The base consists of a 25X25cm lattice of looser weave with ridging the circumference. Two 35 cm strips of rattan are placed diagonally across this square. Opening is circular bottom is square.                                                                                                                                                                                                                                                                                                                                                                                         , 
92298            , Ethnology & Material Culture, Accession Number: 3581   , Accession #3581 Donation 07/10/1984 (3581)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Rattan                       , Asia-Southeast Asia-Philippines-Mindoro Oriental-  , Mt. Halcon           , Santa Rosa or Dulangan      , Mangyan , Fine-weave rattan basket conical in shape. The base is a 20X20cm square of looser weave. Two strips of rattan cross it diagonally from corner to corner and these strips continue up to the rim reinforcing the sides of the basket. A strap consisting of a thin strip about 60 cm long is attached to the rim next to two adjacent vertical strips.                                                                                                                                                                                                                                                                             , 
92305            , Ethnology & Material Culture, Accession Number: 3581   , Accession #3581 Donation 07/10/1984 (3581)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Bamboo                       , Asia-Southeast Asia-Philippines--                  , Luzon                ,                             ,         , "Loose-weave bamboo basket with hinge top and single handle on top. The base and sides are square. The top is peaked and has a loop for shutting. Loop attached to lid. Can be tied to loop on body. The handle is formed from three separate pieces; on which runs from base-to-base up the center of the basket; the other two parallel to it . Running from corner-to-corner on either side to if. They are tied together at the top. Basket is rectangular in shape and natural tan color."                                                                                                                                                                                                                                                                                                                                        , 
17574-a          , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5739/Coo6037
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Bamboo; Rattan               , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , "1 clothes basket of bamboo and rattan. Rectangular bottom made of bamboo design on edges of base made from crossed rattan. Elliptical opening of bamboo lashed with rattan."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 
17595-a          , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5972
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Bamboo; Rattan               , Asia-Southeast Asia-Philippines-Ilocos Sur-        ,                      , Suyo - Tagudin              ,         , "Basket. Bamboo rectangular base. Rectangular opening with slight rounding at corners. Body of woven rattan. Rim edged with bamboo. Rattan braid near bottom. Connected to b with a fiber cord. Carrying basket."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 
17599-a          , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo6018
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Negros Occidental- , Visayan Islands      , Masaling - Canayan          , Visayan , Base to a covered basket made of pandanus. This type of basket is used for tied fibers. The shape is roughly cylindrical woven from a hexagonal base with hexagonal shapes in the overall weave.                                                                                                                                                                                                                                                                                                                                                                                                                                  , 
17599-b          , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo6018
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Negros Occidental- , Visayan Islands      , Masaling - Canayan          , Visayan , Lid to a covered basket made of pandanus. This type of basket is used for tied fibers. The shape is roughly cylindrical woven from a hexagonal base with hexagonal shapes in the overall weave.                                                                                                                                                                                                                                                                                                                                                                                                                                   , 
