dcterms:identifier       , dcterms:isPartOf, dcterms:identifier       , dcterms:provenance                              , dcterms:extent        , dcterms:isPartOf, dcterms:alternative                                   , dcterms:type          , dcterms:medium               , dcterms:temporal, dcterms:provenance                              , dcterms:spatial             , dcterms:spatial             , dcterms:spatial             , dcterms:subject, dcterms:description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , dcterms:description
Accession Number: 3461   , Ethnographic    , Accession Number: 3461   , Accession #3461 UMMAA Expedition 10/1979 (3461) , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Balsa                        ,                 , Accession #3461 UMMAA Expedition 10/1979 (3461) ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 3581   , Ethnographic    , Accession Number: 3581   , Accession #3581 Donation 07/10/1984 (3581)      , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Rattan                       ,                 , Accession #3581 Donation 07/10/1984 (3581)      , Santa Rosa or Dulangan      , Santa Rosa or Dulangan      , Santa Rosa or Dulangan      , Mangyan        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 3581   , Ethnographic    , Accession Number: 3581   , Accession #3581 Donation 07/10/1984 (3581)      , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Rattan                       ,                 , Accession #3581 Donation 07/10/1984 (3581)      , Santa Rosa or Dulangan      , Santa Rosa or Dulangan      , Santa Rosa or Dulangan      , Mangyan        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 3581   , Ethnographic    , Accession Number: 3581   , Accession #3581 Donation 07/10/1984 (3581)      , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Bamboo                       ,                 , Accession #3581 Donation 07/10/1984 (3581)      ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5739/Coo6037 Number Type: original numbers"                        , Basket                , Bamboo; Rattan               ,                 , Accession #1387 Donation 04/29/1941 (1387)      ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5972 Number Type: original numbers"                        , Basket                , Bamboo; Rattan               ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Suyo - Tagudin              , Suyo - Tagudin              , Suyo - Tagudin              ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo6018 Number Type: original numbers"                        , Basket                , Balsa                        ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Masaling - Canayan          , Masaling - Canayan          , Masaling - Canayan          , Visayan        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo6018 Number Type: original numbers"                        , Basket                , Balsa                        ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Masaling - Canayan          , Masaling - Canayan          , Masaling - Canayan          , Visayan        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo6139 E-103  Number Type: original numbers"                        , Basket                , Bamboo; Rattan               ,                 , Accession #1387 Donation 04/29/1941 (1387)      , San Fernando - Union        , San Fernando - Union        , San Fernando - Union        ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo6168  Number Type: original numbers"                        , Basket                , Rattan; Bamboo; Cotton       ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Bulan                       , Bulan                       , Bulan                       ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
